GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC05_EST_VC04,HC05_MOE_VC04,HC01_EST_VC15,HC01_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC05_EST_VC15,HC05_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC05_EST_VC16,HC05_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC05_EST_VC19,HC05_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC05_EST_VC20,HC05_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC05_EST_VC21,HC05_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC05_EST_VC22,HC05_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC05_EST_VC23,HC05_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC05_EST_VC24,HC05_MOE_VC24
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),"Total; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Total; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Male; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Male; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Female; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Female; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Total; Estimate; Median earnings (dollars) for full-time, year-round workers with earnings","Total; Margin of Error; Median earnings (dollars) for full-time, year-round workers with earnings","Male; Estimate; Median earnings (dollars) for full-time, year-round workers with earnings","Male; Margin of Error; Median earnings (dollars) for full-time, year-round workers with earnings","Female; Estimate; Median earnings (dollars) for full-time, year-round workers with earnings","Female; Margin of Error; Median earnings (dollars) for full-time, year-round workers with earnings","Total; Estimate; Mean earnings (dollars) for full-time, year-round workers with earnings","Total; Margin of Error; Mean earnings (dollars) for full-time, year-round workers with earnings","Male; Estimate; Mean earnings (dollars) for full-time, year-round workers with earnings","Male; Margin of Error; Mean earnings (dollars) for full-time, year-round workers with earnings","Female; Estimate; Mean earnings (dollars) for full-time, year-round workers with earnings","Female; Margin of Error; Mean earnings (dollars) for full-time, year-round workers with earnings",Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Percent; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Percent; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree
0600000US2300102060,2300102060,"Auburn city, Androscoggin County, Maine",12659,412,32109,1844,35832,2071,26656,1559,7846,438,4047,315,3799,323,42322,1453,46419,2628,39215,1852,50745,2497,55587,4677,45586,2580,35666,1418,(X),(X),38622,4370,32775,2105,18120,2190,18887,1133,10688,7353,32292,5680,35047,2264,25177,4258,33450,3670,38295,3381,27177,5699,46242,2219,53750,9656,39679,4090,50657,6180,57045,8792,47376,5076
0600000US2300119105,2300119105,"Durham town, Androscoggin County, Maine",2462,114,37148,6207,40694,5181,35951,3038,1636,139,911,90,725,113,46574,5787,51614,5011,40662,5510,57623,6234,65215,8897,48084,5567,40739,4106,(X),(X),42431,10546,36861,5751,26442,25407,-,**,-,**,36036,6718,40887,10538,28000,20041,36332,5665,39432,8368,35357,4417,48167,12992,52316,18319,40453,5921,66250,35422,153068,139715,61454,11808
0600000US2300129255,2300129255,"Greene town, Androscoggin County, Maine",2520,185,35268,2674,44188,5777,31593,2561,1726,154,968,136,758,116,43173,3764,51063,7598,35685,3119,51532,4494,58354,6475,42820,5382,37344,3825,(X),(X),49688,5084,32650,2231,20903,9041,21364,18776,-,**,34030,3184,37794,8387,31250,8537,40682,10263,65134,11854,29097,3964,36862,11998,61154,16562,33625,3136,51034,4074,88000,86266,50428,11904
0600000US2300138565,2300138565,"Leeds town, Androscoggin County, Maine",1204,123,32000,3948,36780,3851,26286,4958,797,127,450,93,347,79,39345,5314,45000,5407,33482,5007,46868,5103,53320,7821,38501,4866,34135,4525,(X),(X),38750,6349,27000,4379,13313,4761,-,**,6125,3531,29000,10988,43056,11293,17632,7320,36696,1650,40227,8072,35609,3321,31667,2520,40375,12614,30560,6881,50938,12797,-,**,51172,11769
0600000US2300138740,2300138740,"Lewiston city, Androscoggin County, Maine",19797,608,26180,1382,29702,2206,22929,2064,11336,657,6091,444,5245,442,37551,1791,40430,2756,34734,1931,46809,3715,49732,3407,43414,7609,31019,1593,(X),(X),35659,4384,28027,2422,16231,1950,20504,7099,10245,3769,26826,1356,30679,3646,24833,3488,31425,3034,40245,6842,27530,4318,37151,4414,39525,7121,34600,5037,54682,4739,69318,21758,52500,12868
0600000US2300140035,2300140035,"Lisbon town, Androscoggin County, Maine",4841,251,30825,1592,34989,3536,25542,2155,3215,237,1743,152,1472,199,37266,2908,42662,5292,32069,2828,45648,4575,53653,7917,36168,3170,33476,2612,(X),(X),38296,3237,27917,4107,28875,15419,-,**,31875,25354,32444,2838,35671,4461,27128,7272,31048,2833,39779,6386,24983,3141,38229,14169,50750,26662,37230,9087,75139,16715,75000,12727,77656,51625
0600000US2300140665,2300140665,"Livermore town, Androscoggin County, Maine",1064,95,36280,8091,40407,7714,33594,8770,720,100,414,53,306,72,49318,4335,50278,4826,46667,9219,50934,3560,52883,4690,48296,5801,41129,5631,(X),(X),44688,7485,34805,8905,-,**,-,**,-,**,35188,8305,40987,8773,21000,9737,47632,13212,49803,6251,37083,13627,41667,15539,41979,22898,-,**,58750,11362,-,**,57083,16471
0600000US2300140770,2300140770,"Livermore Falls town, Androscoggin County, Maine",1387,199,22803,3189,29635,9543,21184,3947,713,129,355,103,358,99,32205,6890,45511,10132,24789,2970,35754,4764,44911,6914,26674,4099,25199,3938,(X),(X),32443,16353,21563,2998,13167,3299,-,**,12833,3108,28448,5287,32216,30297,23690,4131,21985,4846,23750,17161,21066,5814,40923,11014,-,**,40212,34004,10795,2388,-,**,-,**
0600000US2300144585,2300144585,"Mechanic Falls town, Androscoggin County, Maine",1590,195,31231,4854,37599,4267,-,**,971,166,608,130,363,93,41239,3362,40385,2368,45980,10242,47811,5679,49101,7740,45651,6332,34592,5543,(X),(X),39028,3343,27896,16164,28813,25422,38693,9713,"2,500-",***,30064,5227,35938,18157,-,**,34000,12852,38542,7700,-,**,61563,18959,-,**,51058,24279,55052,13130,-,**,55573,14466
