geoid,displayName,totalWorkers,moe_totalWorkers,meanEarnings,DriveAlone,moe_DriveAlone,Carpool,moe_Carpool,Walked,moe_Walked,Bike,moe_Bike,OtherMeans,moe_OtherMeans,Transit,moe_Transit,WorkAtHome,moe_WorkAtHome,pct_45-to-60MinCommute,moe_pct_45-to-60MinCommute,pct_over60MinCommute,moe_pct_over60MinCommute,pct_over45MinCommute,meanTravelTime,moe_meanTravelTime
2300102060,"Auburn, Androscoggin County",11226,432,50745,78.9,2.9,10.5,2.1,4.8,1.4,0,0.2,1.7,1,0.2,0.2,3.9,1.1,10.5,2.3,3.7,1,14.2,20.9,1.1
2300119105,"Durham, Androscoggin County",2349,124,57623,81.3,5,8,4,0.9,0.9,0,1,0.5,0.7,0,1,9.2,3.4,12,4.2,5.5,3.5,17.5,30.4,2.9
2300129255,"Greene, Androscoggin County",2291,171,51532,84.3,5.1,9.7,3.5,0.3,0.5,0,1,0.3,0.6,0,1,5.3,3.8,7.4,5.4,6.4,3.7,13.8,28.2,3.8
2300138565,"Leeds, Androscoggin County",1081,130,46868,84,6.4,8.8,5.6,1.8,1.5,0,2.1,0.6,0.9,0,2.1,4.8,2.7,17.8,6.5,4.2,3.1,22,31,3.4
2300138740,"Lewiston, Androscoggin County",16792,719,46809,73,2.8,12.6,2.2,7.6,1.6,0.8,0.6,2.1,0.8,0.3,0.2,3.7,1.2,9.6,2.1,4.3,1.4,13.9,20.4,1.4
2300140035,"Lisbon, Androscoggin County",4397,258,45648,85.7,3.5,10,3.4,1,0.7,0,0.5,0.5,0.5,0.6,0.9,2.2,1.2,9.6,2.3,5.3,2.5,14.9,26.1,1.6
2300140665,"Livermore, Androscoggin County",952,96,50934,85.2,5.8,9.5,4.7,0.4,0.6,0,2.3,2.4,2.5,0,2.3,2.5,2,16.1,6,16.6,5.3,32.7,36.3,5
2300140770,"Livermore Falls, Androscoggin County",1176,167,35754,78.1,7.6,12.9,7,4.3,3.7,0,1.9,0.7,1.2,0,1.9,3.9,3.5,18.3,8.9,8.3,4.6,26.6,29.6,5.5
2300144585,"Mechanic Falls, Androscoggin County",1428,180,47811,81.2,8.3,8.8,6.4,5.8,5.1,0,1.6,0.4,0.6,1.1,1.6,2.8,4.2,10,7.4,10,7,20,26.5,5.4
2300146160,"Minot, Androscoggin County",1266,108,64440,81,4.7,7.8,3.8,0.9,1.2,0,1.8,1,1.2,0,1.8,9.2,3.8,8.2,3.5,6.5,2.5,14.7,24.6,1.9
2300160020,"Poland, Androscoggin County",2895,244,45860,80.1,7.4,12.7,6.6,0.5,0.6,0,0.8,0.6,0.9,0,0.8,6,3.3,13.8,5.9,7.8,3.7,21.6,29.8,3.9
2300164570,"Sabattus, Androscoggin County",2417,247,46987,74.6,9.1,16.7,8.5,0,0.9,0,0.9,2.1,3.1,0,0.9,6.6,4.3,13,6.7,9.1,6.9,22.1,29.2,4.3
2300177800,"Turner, Androscoggin County",3033,212,53888,90.7,3.9,6.8,3.8,0.7,1.1,0.6,1,0.4,0.6,0,0.7,0.8,1,4.5,2.3,10.5,4,15,27.1,2.6
2300179585,"Wales, Androscoggin County",780,122,53146,82.1,5.9,16,5.7,0.8,1.1,0,2.8,0,2.8,0,2.8,1.2,1.1,13,4.4,5.7,2.4,18.7,28.4,2.7
2300300800,"Allagash, Aroostook County",73,23,43977,74,11.5,9.6,7.3,0,26,0,26,0,26,0,26,16.4,11,29.5,9.5,16.4,10.3,45.9,38.6,12.7
2300301220,"Amity, Aroostook County",51,23,N,76.5,22,7.8,13.9,0,33.9,0,33.9,0,33.9,0,33.9,15.7,18.6,0,37.6,4.7,8,4.7,24.3,8.3
2300301710,"Ashland, Aroostook County",528,124,38187,81.1,6.4,4.7,3,5.7,4.9,0,4.2,1.9,2,0,4.2,6.6,4.6,4.9,4.5,6.9,4.3,11.8,23,6
2300305385,"Blaine, Aroostook County",303,75,41935,79.5,8.7,13.5,8.2,3.6,3.9,0,7.2,0,7.2,0,7.2,3.3,4,1,2,0.7,1.6,1.7,16,3.3
2300307065,"Bridgewater, Aroostook County",217,48,44893,79.7,8.4,8.3,5.3,7.4,7.6,0,9.8,1.4,1.7,0,9.8,3.2,2.9,1.4,1.9,3.8,3.4,5.2,24.8,4.9
